category,content
sport, Matt Williams insists he has no thoughts of quitting as national coach as a result of the power struggle currently gripping Scottish rugby.  The chairman
politics, A majority of voters (68%) believe the prime minister has been damaged by the row over David Blunkett's involvement in a visa application
sport, Paul Sculthorpe has admitted he would love to succeed Andy Farrell as Great Britain skipper if the Wigan star does switch codes to rugby union.  Sculthorpe was vice-captain in the Tri-Nations
business, Choking traffic jams in Beijing are prompting officials to look at reorganising car parking charges.  Car ownership has risen fast in recent years
sport, The Wales Students rugby side has become a casualty of the Welsh Rugby Union's reorganisation at youth level.  An amalgamated Under-18 side formed from separate schools and national youth teams plays its first match on Thursday
sport, Martina Navratilova has defended her decision to prolong her tennis career at the age of 48.  Navratilova
politics, Tory leader Michael Howard says his party can save £35bn in government spending by tackling waste.  The money would be ploughed back into frontline services like the NHS and schools with the rest used to cut government borrowing and reduce taxes. The Tory leader has also shrugged off the defection of one of his MPs
business, Car manufacturers with plants in South Africa
sport, Playing colours:  All black  The Haka and more!  The All Blacks  Charles John Munro discovered rugby at London's Christ College
sport, Marat Safin admitted he thought he was suffering another Australian Open final nightmare when he lost the opening set to Lleyton Hewitt.  The Russian
tech, The hi-tech industry is starting to get more environmentally aware. Bill Thompson thinks it's about time.  My first car ran on four star petrol and pumped vast quantities of lead into the atmosphere as I drove around Cambridge. Now you can't buy petrol with lead additives
politics, The majority of young people are interested in politics
sport, England's 1-0 defeat to Spain on Wednesday dominated the back and front pages of the country's press on Thursday.  Controversy was in no short supply
business, Fiat will meet car giant General Motors (GM) on Tuesday in an attempt to reach agreement over the future of the Italian firm's loss-making auto group.  Fiat claims that GM is legally obliged to buy the 90% of the car unit it does not already own; GM says the contract
sport," Chelsea boss Jose Mourinho has attempted to pile the pressure on title rivals Arsenal ahead of the Gunners facing Newcastle on Wednesday.  Arsenal will play the Magpies a day after Chelsea beat Portsmouth during a busy festive programme. And Mourinho said: ""They always seem to have two or three days' rest in which to recover. Perhaps it's something to do with the television schedule. ""All my players are tired"
tech, Security firms are warning about several mobile phone viruses that can spread much faster than similar bugs.  The new strains of the Cabir mobile phone virus use short-range radio technology to leap to any vulnerable phone as soon as it is in range. The Cabir virus only affects high-end handsets running the Symbian Series 60 phone operating system. Despite the warnings
politics, The Green Party is concerned thousands of residents may not be able to vote in Edinburgh's transport referendum.  Edinburgh City Council is to ballot constituents on proposals to introduce congestion charging in the capital. But Green MSP Mark Ballard fears people not on the council's edited electoral register may miss out. Local authorities can only send ballot papers to those on the edited list over non-statutory matters
business," Chancellor Gordon Brown will meet his golden economic rule ""with a margin to spare"""
politics, Billions of pounds spent on conflict in Iraq and in the Middle East should have been used to reduce poverty
politics, Tory MP Jonathan Sayeed is to stand down on the grounds of ill health.  The decision comes after Mr Sayeed survived an attempt to de-select him in a row over allegations he had profited from private tours of Parliament. The Mid-Bedfordshire MP had denied a claim that he was paid for guiding visitors around the Palace of Westminster. Conservative leader Michael Howard has now accepted the MP's resignation
tech, Virus writers have begun using the power of the web to spread their malicious wares.  A Windows virus called Bofra is turning infected machines into distributors of its malicious code. Those clicking on the poisoned links in e-mail messages sent out by infected machines may fall victim to the virus. The trick is being used to prevent the progam being caught by anti-virus software that combs through code contained in e-mail attachments.  The virus that uses this trick is called Bofra and the first member of the family of worms appeared on 10 November. They exploit a Windows vulnerability that was discovered only a few days earlier.  Like many other recent viruses
politics, The Tories failed to hold onto power in 1974 after Liberals demanded Sir Edward Heath quit in return for co-operation.  Documents released after 30 years reveal the failed negotiations by the then prime minister following the dramatic February general election. Liberal leader Jeremy Thorpe appeared willing to form a coalition government. But it partly collapsed over the Conservative leader's own role
sport," Mike Tindall's agent has warned Bath they have until next week to improve their contract offer to the England man or risk losing him to a rival club.  Dipo Alli says he has received an offer for Tindall which dwarfs Bath's deal and that two other clubs want to talk. ""Mike does not want to go into the Six Nations worrying about where he will be playing his club rugby next season"
politics, Cherie Blair has been accused of criticising George W Bush's policies in a private address she gave during a United States lecture tour.  The prime minister's wife is said to have praised the Supreme Court for overruling the White House on the legal rights of Guantanamo Bay detainees. The Tories said she broke a convention that British political figures do not act in a partisan way when abroad. But Downing Street said she was speaking in her capacity as a lawyer. It said she was not expressing political opinions. Mrs Blair's remarks are said to have been made in a speech to law students in Massachusetts. She said the decision by the US Supreme Court to give legal protection to two Britons held at Guantanamo Bay was a significant victory for human rights and the international rule of law. She also described the US legal code as an outdated grandfather clock and welcomed a decision to throw out a law backed by Mr Bush relating to sodomy in Texas.  BBC news correspondent Gary O'Donoghue said Mrs Blair was likely to face further calls for restraint
politics, Maternity pay for new mothers is to rise by £1
entertainment, French actress Audrey Tautou
tech," A US airline attendant suspended over ""inappropriate images"" on her blog - web diary - says she has been fired.  Ellen Simonetti"
sport, England will have to take on Ireland in the Six Nations without captain and goal-kicker Jonny Wilkinson
sport, England forward Michael Owen has told the BBC he is happy in Spain and has no plans to quit Real Madrid to return to the Premiership in the near future.  But the 25-year-old
tech," Legal attacks on websites that help people swap pirated films have forced the development of a system that could be harder to shut down.  One site behind the success of the BitTorrent file-swapping system is producing its own software that avoids the pitfalls of the earlier program. A test version of the new Exeem program will be released in late January. But doubts remain about the new networks ability to ensure files being swapped are ""quality copies"".  In late December movie studios launched a legal campaign against websites that helped people swap pirated movies using the BitTorrent network. The legal campaign worked because of the way that BitTorrent is organised. That file-sharing system relies on links called ""trackers"" that point users to others happy to share the file they are looking for. Shutting down sites that listed trackers crippled the BitTorrent network. One of the sites shut down by the legal campaign was suprnova.org which helped boost the popularity of the BitTorrent system by checking that trackers led to the movies or TV programmes they claimed to.  Now the man behind suprnova.org"
business, Traders at US banking giant Citigroup are facing a criminal investigation in Germany over a controversial bond deal.  The deal saw the sale of 11bn euros ($14.4bn; £7.6bn) of government bonds in a few minutes on 2 August
politics, The shape of the UK's economy In graphics  But he denied that he was ruling out British membership of the euro despite saying there would be no assessment of the five economic tests this year. Mr Brown said that it was vital the UK continued to invest in infrastructure
sport, England will have to negotiate their way through a tough draw if they are to win the Rugby World Cup Sevens in Hong Kong next month.  The second seeds have been drawn against Samoa
sport," Kenya's athletics body has reversed a ban on marathon runner Susan Chepkemei after she made an official apology.  Athletics Kenya (AK) had suspended the two-time London Marathon runner-up for failing to turn up to a cross-country team training camp in Embu. ""We have withdrawn the ban. Chepkemei has given a reason for her absence"
politics, Teenagers questioned for a survey have shown little interest in politics - and have little knowledge.  Only a quarter of 14-16 year olds knew that Labour was the government
business," An executive at US insurance firm Marsh & McLennan has pleaded guilty to criminal charges in connection with an ongoing fraud and bid-rigging probe.  New York Attorney General Elliot Spitzer said senior vice president Robert Stearns had pleaded guilty to scheming to defraud. The offence carries a sentence of 16 months to four years in state prison. Mr Spitzer's office added Mr Stearns had also agreed to testify in future cases during the industry inquiry. ""We are saddened by the development"
entertainment, Oscar-nominated film biopic Ray has surpassed its US box office takings with a combined tally of $80m (£43m) from DVD and video sales and rentals.  Ray's success on DVD outstripped its $74m (£40m) US box office total
business, Walt Disney has settled charges from US federal regulators that it failed to disclose how family members of directors were employed by the company.  The media giant was not fined by the Securities and Exchange Commission
politics, Anyone planning to move to the UK will have to pass a test to prove they can contribute to the country
sport, British number one Tim Henman will face France's Cyril Saulnier in the first round of next week's Australian Open.  Greg Rusedski
business, US supermarket group Winn-Dixie has filed for bankruptcy protection after succumbing to stiff competition in a market dominated by Wal-Mart.  Winn-Dixie
tech, Ways of ensuring that parents know which video games are suitable for children are to be considered by the games industry.  The issue was discussed at a meeting between UK government officials
tech, Yahoo has reached the grand old age of 10 and
sport," David dal Maso has been handed the task of replacing the injured Mauro Bergamasco at flanker in Italy's team to face Scotland on Saturday.  Alessandro Troncon continues at scrum-half despite the return to fitness of Paul Griffen. The experienced Cristian Stoica is recalled at centre at the expense of Walter Pozzebon. ""We are going to Scotland for the first away win and nothing else"
entertainment, The Streets
business, US food and drug regulators will decide on Friday whether to recommend the sale of painkillers that have been linked to a high risk of heart attack and stroke.  The Food and Drug Administration (FDA) advisory panel will give its verdict after hearing evidence for three days. The painkillers - called COX-2 inhibitors - are sold under brand names such as Celebrex and Vioxx. Vioxx was withdrawn from shops last year but Merck said it would consider selling it if it gets FDA approval. The FDA has been asked to decide if the benefits to patients justify the increased risks.  Putting Vioxx back on the shelves is likely to boost profits at Merck and make easier any legal battles with people who claim to have been injured by the drug
sport, Australian tennis coach Tony Roche has turned down an approach from Roger Federer to be the world number one's new full-time coach
politics, The UK' opposition Conservatives have unveiled plans to introduce health checks for immigrants if they win the General Election. Here's a guide to the plan:  People coming to live and work in Britain from outside the EU. If they plan to stay six months or more and are from a country with lots of TB
sport, Olympic champion Justine Henin-Hardenne will return to action in January's Sydney International tournament.  The Belgian has not competed since losing her top world ranking at the US Open in September
entertainment, Singer Courtney Love has been spared jail for assault and drug offences
tech, The body that represents the US movie industry has released its latest tool in its campaign to clamp down on movie file-sharing
politics," The Conservative Party would deal ""sympathetically"" with any application by disgraced peer Lord Archer to rejoin its ranks"
sport," AC Milan defender Jaap Stam says Manchester United ""know they made a mistake"" by selling him in 2001.  The sides meet at Old Trafford in the Champions League game on Wednesday and the 32-year-old's Dutchman's presence is sure to add spice to the fixture. ""United made a mistake in selling me"
entertainment, Novelist Andrea Levy is favourite to win the main Whitbread Prize book of the year award
politics, Betty Boothroyd has said the House of Lords needs its own Speaker and that peers should lead the way on reforming the upper chamber.  Baroness Boothroyd
tech, The number of Europeans with broadband has exploded over the past 12 months
politics," An artist critical of Welsh arts funding being brought under assembly government control has denied comparing the idea with dictatorships in Russia and Germany.  Shani Rhys James is worried that the Arts Council of Wales may be taken over by the Welsh Assembly Government. Culture Minister Alun Pugh said it would be ""crass and ignorant"" to liken a quango review to Hitler's Germany. But Ms James emphasised she had actually said artists needed freedom. The future of the Arts Council of Wales has been in question since it was announced that most Welsh quangos would eventually be abolished.  It was announced last July that three Welsh quangos"
sport, Jonny Wilkinson looks set to miss the whole of the 2005 RBS Six Nations.  England's World Cup-winning fly-half said last week he was hoping to recover from his latest injury in time to play some role in the championship. But Rob Andrew
entertainment, Actor Daniel Day-Lewis is to be presented with an award for his career in film at the Berlin Film Festival.  The 47-year-old
sport, Wales hooker Mefin Davies is likely to stay with English side Gloucester despite reported interest from the Neath-Swansea Ospreys.  BBC Wales understands the Ospreys are interested in the 32-year-old
sport, Striker Nicolas Anelka reportedly wants to leave Manchester City in search of Champions League football.  Anelka
entertainment," MPs have urged the BBC to give watchdogs more freedom to scrutinise how £2bn in licence fee money is spent.  The Public Accounts Committee called for the National Audit Office to be given a ""free hand"" to investigate how the BBC offers value for money. Although six areas are to be opened up to scrutiny the audit office should have more power to choose what it investigated"
tech, Firms that flout rules on how ringtones and other mobile extras are sold could be cut off from all UK phone networks.  The rules allow offenders to be cut off if they do not let consumers know exactly what they get for their money and how to turn off the services. The first month under the new rules has seen at least ten firms suspended while they clean up the way they work. The rules have been brought in to ensure that the problems plaguing net users do not spread to mobile phones.  In the last couple of years ringtones
sport," Sir Alex Ferguson has called on the Football Association to punish Arsenal's Thierry Henry for an incident involving Gabriel Heinze.  Ferguson believes Henry deliberately caught Heinze on the head with his knee during United's controversial win. The United boss said it was worse than Ruud van Nistelrooy's foul on Ashley Cole for which he got a three-game ban. ""We shall present it to the FA and see what they do. The tackle on Heinze was terrible"
sport," Fly-half Charlie Hodgson admitted his wayward kicking played a big part in England's 18-17 defeat to France.  Hodgson failed to convert three penalties and also missed a relatively easy drop goal attempt which would have given England a late win. ""I'm very disappointed with the result and with my myself"
entertainment, Former England footballer Paul Gascoigne will join EastEnders' actress Scarlett Johnson on BBC One's Strictly Ice Dancing.  The one-off Christmas special will also star television presenter Carol Smillie and Jessica Taylor from Liberty-X. Each celebrity will be paired with a professional skater to impress a panel of judges and win the audience vote. The BBC is yet to confirm the final two stars who will battle it out to become Ice King or Queen.  Veteran presenter Bruce Forsyth and Tess Daly will host the programme
tech, Apple has unveiled a new
sport, Tim Henman was named player of the year for 2004 by the Lawn Tennis Association at Wimbledon on Monday.  The Briton was recognised for the best year of his career
entertainment," Hollywood legend Dustin Hoffman has hit out at the quality of current films and theatre productions.  The star of Rain Man and Tootsie said the film culture was ""in the craphouse"" at a press conference on Tuesday. The 67-year-old also said he stopped working a few years ago because he lost his ""spark"" for acting. Hoffman is in the UK to publicise his new comedy"
sport, The World Anti-Doping Agency (Wada) will appeal against the acquittal of Kostas Kenteris and Katerina Thanou on doping charges
politics, Millions of public service workers could strike if ministers scrap their final salary pension scheme and make them work longer
tech, Consumers want music rather than movies while on the move
tech, If broadband were a jumbo jet
tech, Yahoo
entertainment, Harry Potter and the Half-Blood Prince has topped Amazon's book chart less than 24 hours after its release date - 16 July - was announced.  Thousands of customers placed pre-orders on the amazon.co.uk website for the sixth book in the series. Rowling revealed she had completed the novel on Tuesday
business, The US trade deficit widened by more than expected in October
entertainment, Sir Joshua Reynolds' Portrait of Omai will get a public airing following fears it would stay hidden because of an export wrangle.  The Tate Gallery unsuccessfully tried to buy the picture from its anonymous owner after a ban was issued preventing the painting from leaving the UK. The 18th Century painting has remained in storage but the owner has agreed to allow it to be part of an exhibition. The exhibition of Reynolds' work will be shown at Tate Britain from May. Joshua Reynolds: The Creation of Celebrity will feature prints
sport," Real Madrid midfielder David Beckham has no plans to become a manager when his playing career is over.  ""I am not interested in being a coach but I would like to have football schools"
entertainment, Former Stone Roses singer Ian Brown was arrested after a fight during a concert in San Francisco on Tuesday
tech, A 20-year-old US man is selling advertising space on his forehead to the highest bidder on website eBay.  Andrew Fisher
politics, Tony Blair lied when he took the UK to war so has no qualms about lying in the election campaign
politics, Political parties cannot afford to take older UK voters for granted in the coming election
politics, A decision on whether to allow Westminster to legislate on super-casinos is set to be made by the Scottish Parliament.  The government has plans for up to eight Las Vegas style resorts in the UK
sport, An injury-time dropped goal by Ronan O'Gara stole victory for Ireland from underneath the noses of Argentina at Lansdowne Road on Saturday.  O'Gara kicked all of Ireland's points
entertainment, Broadcaster Chris Evans has begun selling thousands of his possessions from a stall in Camden Market
politics, The UK has welcomed the decision by India and Pakistan to open a bus link across the ceasefire line dividing the disputed region of Kashmir.  Foreign Secretary Jack Straw
business, The decision to keep interest rates on hold at 4.75% earlier this month was passed 8-1 by the Bank of England's rate-setting body
sport," Arsene Wenger has stepped up his feud with Sir Alex Ferguson by claiming the Manchester United manager is guilty of bringing football into disrepute.  The pair's long-running row was put back in the headlines on Saturday when Ferguson said his Arsenal counterpart was ""a disgrace"". Wenger initially refused to bite back"
tech, The original Blinx was intended to convert many platform game lovers to Microsoft's then new Xbox console.  Its sharp graphics and novel gameplay
entertainment, The race for the Oscars entered its final stages as the deadline for voters to choose their winners passed.  The 5
business, Six foreign-owned textile factories have closed in Lesotho
business, Companies fail to draw up plans to cope with HIV/Aids until it affects 20% of people in a country
tech, Scandinavians and Koreans
entertainment, Director Oliver Stone's historical epic Alexander has failed in its bid to conquer the box office
business, Australia is raising its benchmark interest rate to its highest level in four years despite signs of a slowdown in the country's economy.  The Reserve Bank of Australia lifted interest rates 0.25% to 5.5%
sport, The worst kept secret in Scottish football was revealed on Thursday when Walter Smith was named as the new national manager.  From the moment Berti Vogts' miserable tenure in charge of Scotland ended
sport, Northampton coach Budge Pountney has been fined £2
politics," A Conservative election challenger is quitting after being quoted as wanting a ""period of creative destruction in the public services"".  Danny Kruger"
politics, Tory delegates are gathering for what is expected to be their last conference before the general election
sport, Top seed Roger Federer had to save two match points before squeezing past Juan Carlos Ferrero at the Dubai Open.  The world number one took two hours 15 minutes to earn his 4-6 6-3 7-6 victory
tech, There is no doubt that mobile phones sporting cameras and colour screens are hugely popular.  Consumers swapping old phones for slinkier
politics, Talks aimed at averting national strikes over pension reforms have ended without agreement after 90 minutes.  Five public sector unions met Deputy Prime Minister John Prescott at the Labour spring conference in Gateshead. They want the government to withdraw regulations - due to be introduced in weeks - which would raise the pension age for council workers from 60 to 65. Up to 1.4 million workers could take part in strikes earmarked for 23 March. Discussions will resume next week.  A spokesman for Unison
business, Ukraine has agreed to pay 30% more for natural gas supplied by Turkmenistan.  The deal was sealed three days after Turkmenistan cut off gas supplies in a price dispute that threatened the Ukrainian economy. Supplies from Turkmenistan account for 45% of all natural gas imported by Ukraine
business," German football club and former European champion Borussia Dortmund has warned it will go bankrupt if rescue talks with creditors fail.  The company's shares tumbled after it said it has ""entered a life-threatening profitability and financial situation"". Borussia Dortmund has posted record losses and missed rent payments on its Westfallen stadium. Chief executive Gerd Niebaum stepped down last week and creditors are now pushing for greater control. Shares in Borussia Dortmund"
tech, Gaming on the move is one of the fastest-growing activities among the tech-savvy in India
politics, Foster carers are to be guaranteed a minimum allowance to help cover their costs
business, Most EU countries have failed to put in place policies aimed at making Europe the world's most competitive economy by the end of the decade
sport, Top seeds South Africa return to the scene of one of their most embarrassing failures when they face the Seychelles in the Cosafa Cup next month.  Last year Bafana Bafana were humbled in the first by minnows Mauritius who beat them 2-0 in Curepipe. Coach Stuart Baxter and his squad will return to Curepipe face the Seychelles in their first game of the new-look regional competition. The format of the event has been changed this year after the entry of the Seychelles
politics," Scotland's justice minister has warned bigoted soccer fans that she wants to hit them ""where it hurts most"" by banning them from matches.  Cathy Jamieson said exclusion orders are one of a series of measures being considered in the Scottish Executive campaign against sectarianism. She praised Celtic and Rangers for their work in tackling the problem. However"
sport, Four British athletes have been pre-selected to compete at the World Cross Country Championships in March after impressive starts to the season.  Hayley Yelling
tech, Computer games could enhance learning and have a legitimate place in the classroom
business, Japan's Sumitomo Mitsui Financial has withdrawn its takeover offer for rival bank UFJ Holdings
entertainment, A TV station in the US has refused to show a controversial new series where adopted children try and pick their birth father - and win a cash prize.  The WRAZ-TV Fox affiliate in North Carolina was the only one of 182 stations to refuse Monday's show. Who's Your Daddy promises $100
sport," Liverpool legend Phil Thompson has pleaded with Steve Gerrard to reject any overtures from Chelsea.  The ex-Reds assistant boss also warned that any honours won at Chelsea would be cheapened by the bid to buy success. He told BBC Radio Five Live: ""Liverpool would think about any bid made but it will all be down to Steve in the end. ""But it wouldn't have that same sweet feeling at Chelsea"
business, In a sign of a thaw in relations between Egypt and Israel
entertainment, Stars of the Eurovision Song Contest from the show's 50-year history are to compete against each other to celebrate the contest's anniversary.  Viewers will choose 14 past songs to be performed by the original artists or others in the spirit of the originals. Past Eurovision performers include Abba
sport, Aston Villa boss David O'Leary signed a three-and-a-half year contract extension on Thursday
entertainment, Joss Stone
sport, Wigan chairman Maurice Lindsay says he does not expect a quick solution to the on-going saga of captain Andy Farrell's possible switch to rugby union.  Leicester and Saracens are leading the chase for the player
business, The UK's jobless total rose for the second month in a row in December
politics, The first children's commissioner for England has been appointed.  Great Ormond Street Hospital professor of child health
business, Consumers' confidence in the state of the US economy is at its highest for five months and they are optimistic about 2005
entertainment, Sprinter Kelly Holmes' Olympic victory has been named the top television moment of 2004 in a BBC poll.  Holmes' 800m gold medal victory beat favourite moments from drama
politics, David Miliband's rapid rise through the ranks of government continues with his promotion to Cabinet Office minister.  Elected in a safe Labour seat in 2001 his previous job was school standards minister - a role he won in May 2002. Prior to the last election he was a key figure in New Labour as the head of the Downing Street policy unit where he was a key member of the manifesto writing team. Seen as one of the more intellectual figures in the government
sport," Jade Johnson is undecided about whether to contest next month's European Indoor Championships in Madrid despite winning the AAAs long jump title on Saturday.  The 24-year-old delivered a personal best of 6.50m to win the European trials but had to wait until her final jump after four failures. ""I don't want to go if I am not going to get a medal"
business, Australian mining firm WMC Resources has said it is worth up to 30% more than a hostile 7.4bn Australian dollar ($5.8bn; £3bn) bid by rival Xstrata.  There is now pressure on Swiss-based Xstrata to increase its takeover offer. A report from investment firm Grant Samuel in WMC defence documents values WMC shares at A$7.17 to A$8.24
entertainment, The Aviator has been tipped by UK bookmakers as the favourite to win the best film award at this year's Oscars.  Ray star Jamie Foxx is clear favourite in the best actor category while Million Dollar Baby's Hilary Swank is tipped to win the best actress prize. Bookmakers predict Cate Blanchett will be named best supporting actress. William Hill and Ladbrokes have given The Aviator 4/9 and 8/13 odds of winning best film
sport, Pole vaulter Yelena Isinbayeva broke her own indoor world record by clearing 4.89 metres in Lievin on Saturday.  It was the Russian's 12th world record of her career and came just a few days after she cleared 4.88m at the Norwich Union Grand Prix in Birmingham. The Olympic champion went on to attempt 5.05m at the meeting on France but failed to clear that height. In the men's 60m
sport, David Beckham expressed his relief at Real Madrid's passage to the Champions League knockout phase.  After Real's 3-0 win at Roma
entertainment, A novel set in 19th century Paraguay has won the $10
entertainment, Singer Britney Spears is suing eight insurance companies that have refused to reimburse her for cancelling her 2004 world tour.  The pop star cancelled her Onyx Hotel tour last June after suffering a knee injury during a video shoot. She is now seeking to be reimbursed for the tour's £5m ($9.3m) costs in a claim filed at New York State Supreme Court. Seven London-based companies and an eighth Paris firm have been given up to 30 days to respond to the complaint.  The 22-year-old star initially missed a number of shows on the 82-date tour after injuring her knee during a show in Illinois last March. But she was rushed to hospital and needed surgery after a later incident while filming a video for her song Outrageous
politics," The ""best person for the job"" should be appointed lord chancellor"
business," Shops all over the UK reported strong sales on the last Saturday before Christmas with some claiming record-breaking numbers of festive shoppers.  A spokesman for Manchester's Trafford Centre said it was ""the biggest Christmas to date"" with sales up 5%. And the Regent Street Association said shops in central London were also expecting the ""best Christmas ever"". That picture comes despite reports of disappointing festive sales in the last couple of weeks.  The Trafford Centre spokeswoman said about 8"
tech, Software that can not only monitor every keystroke and action performed at a PC but also be used as legally binding evidence of wrong-doing has been unveiled.  Worries about cyber-crime and sabotage have prompted many employers to consider monitoring employees. The developers behind the system claim it is a break-through in the way data is monitored and stored. But privacy advocates are concerned by the invasive nature of such software.  The system is a joint venture between security firm 3ami and storage specialists BridgeHead Software. They have joined forces to create a system which can monitor computer activity
politics, Sacked MP Howard Flight's local Conservative association has insisted he will not be its candidate at the general election.  Russell Tanguay
entertainment, US actor Ossie Davis has been found dead at the age of 87.  Davis
entertainment, Three of the five nominees in the live-action short film category at this year's Oscars were British. For Andrea Arnold
business, As the Aurora limped back to its dock on 20 January
entertainment," Proposals to open a museum dedicated to Jimi Hendrix are flailing because of a row over the home of his late father.  The run-down house in Seattle has already been moved wholesale once and local authorities are now demanding it be moved to another site. Hendrix supporters hoped to turn the home into a museum for the guitarist. ""The mayor is going to go down as the mayor who destroyed Jimi Hendrix's house"
entertainment, Ocean's Twelve
business, Fiat is to stop making six-cylinder petrol engines for its sporty Alfa Romeo subsidiary
sport, Former captain Keith Wood believes Ireland can win only their second Grand Slam - and first since 1948 - in this year's RBS Six Nations Championship.  After claiming their first Triple Crown for 19 years last season
sport, Top seed Guillermo Coria went out of the Heineken Open in Auckland on Thursday with a surprise loss to Olivier Rochus of Belgium.  Coria lost the semi-final 6-4 6-4 to Rochus
business, The French government is to hand its struggling wine industry 70m euros ($91m) in aid to help it battle falling sales and damaging overproduction.  The financial package is aimed at assisting vintners in financial trouble and improving how its wine is marketed. The French wine industry
entertainment," The head of US TV network Fox has admitted the broadcaster had relied too heavily on reality TV shows such as the poor-rating Who's Your Daddy.  Chief executive Gail Berman said ""in the case of this fall we drifted to too much on the unscripted side"". The series Who's Your Daddy"
sport," Ireland coach Eddie O'Sullivan heaped praise on Italy after seeing his side stutter to a 28-17 victory in Rome.  ""It was a hell of a tough game"
business, News Corp
tech, Rich Templeton
sport, Ireland's Brian O'Driscoll will lead the Northern Hemisphere team in the IRB Rugby Aid match at Twickenham.  O'Driscoll heads a star-studded cast for the contest to raise funds for the tsunami appeal. The South will be led by George Gregan
entertainment, Motley Crue guitarist Mick Mars is being sued by his ex-girlfriend for $10 million (£5.4 million)
politics, The Liberal Democrats are aiming to unseat a string of top Tories - including leader Michael Howard - at the next general election.  Mr Howard's seat is at the top of the Liberal Democrats' list. Others targeted include Oliver Letwin
sport," Chelsea boss Jose Mourinho will not face any Football Association action over the comments he made after their Carling Cup tie with Manchester United.  Mourinho intimated that United boss Sir Alex Ferguson influenced referee Neale Barry after the duo walked down the tunnel together at half-time. But an FA spokesman told BBC Sport: ""We are not taking action over Mourinho. ""We have looked at the comments and we have decided that no further action is required. That is the end of it."" Mourinho was concerned that Ferguson's conversation with Barry was followed by an inconsistent display by the official. ""I see one referee in the first half and another in the second"
sport, The IAAF - athletics' world governing body - has met anti-doping officials
sport, Daniela Hantuchova moved into the quarter-finals of the Dubai Open
tech, Gadgets are cheaper
tech, Two-thirds of the world's population
business, Malcolm Glazer has made a fresh approach to buy Manchester United
sport," Marcel Desailly insists there is no chance of history repeating itself when Chelsea take on Barcelona on Wednesday.  The French star was part of the Chelsea side crushed 5-1 at the Nou Camp in the Champions League quarter-final second leg in 2000. ""Things will be totally different this time"
sport, Hereford win 3-1 on penalties.  Rovers took the lead on 59 minutes as Michael McIndoe's corner found Adriano Rigoglioso
sport, Elena Dementieva swept aside defending champion Venus Williams 6-3 6-2 to win Hong Kong's Champions Challenge event.  The Russian
entertainment, The number of British films produced in the UK fell 40% in 2004
politics," Ex-No 10 media chief Alastair Campbell is at the centre of a new political row over an e-mail containing a four-letter outburst aimed at BBC journalists.  Mr Campbell sent the missive by mistake to BBC2's Newsnight after it sought to question his role in Labour's controversial poster campaign. He later contacted the show saying the original e-mail had been sent in error and that it was all a ""silly fuss"". Mr Campbell has recently re-joined Labour's election campaign.  The e-mail was revealed the day after Peter Mandelson"
